ticket_id,ticket_text,category,environment,env_criticality,escalation_count,sla_breach_risk,repeat_incident,response_time_min,affected_users,priority
INC100000,Web Portal experiencing single user in database layer,Database,Production,4,0,0.15,0,104,11,P3
INC100001,VPN experiencing documentation in database layer,Database,DR,3,0,0.15,0,473,1,P4
INC100002,VPN experiencing some users affected in network layer,Network,Production,4,1,0.5,1,51,525,P2
INC100003,Email Service experiencing how to in database layer,Database,Development,1,0,0.09,0,190,4,P4
INC100004,Email Service experiencing delay in network layer,Network,Production,4,1,0.43,0,38,26,P3
INC100005,Email Service experiencing revenue impact in security layer,Security,DR,3,5,0.97,0,8,3573,P1
INC100006,File Storage experiencing low impact in application layer,Application,Staging,2,0,0.44,1,191,10,P3
INC100007,Reporting experiencing request in security layer,Security,Staging,2,0,0.05,0,267,4,P4
INC100008,Reporting experiencing partial outage in application layer,Application,Production,4,1,0.45,1,10,570,P2
INC100009,API Gateway experiencing question in database layer,Database,DR,3,0,0.11,0,478,0,P4
INC100010,Reporting experiencing workaround available in application layer,Application,Staging,2,0,0.4,0,62,48,P3
INC100011,API Gateway experiencing workaround available in storage layer,Storage,Staging,2,1,0.2,0,130,47,P3
INC100012,Email Service experiencing minor issue in storage layer,Storage,Production,4,1,0.27,0,44,26,P3
INC100013,Email Service experiencing outage in database layer,Database,Production,4,6,0.87,1,5,2178,P1
INC100014,Email Service experiencing enhancement in storage layer,Storage,DR,3,0,0.1,0,343,1,P4
INC100015,Database Cluster experiencing low impact in network layer,Network,Staging,2,1,0.38,0,59,11,P3
INC100016,Reporting experiencing errors increasing in security layer,Security,Development,1,2,0.44,0,22,308,P2
INC100017,Reporting experiencing data loss in database layer,Database,DR,3,3,0.74,1,11,3945,P1
INC100018,File Storage experiencing degraded in network layer,Network,DR,3,2,0.74,1,48,435,P2
INC100019,Web Portal experiencing warning in network layer,Network,Production,4,0,0.31,0,83,23,P3
INC100020,API Gateway experiencing high latency in network layer,Network,Production,4,2,0.59,0,15,465,P2
INC100021,Web Portal experiencing non-critical in database layer,Database,Development,1,0,0.35,0,145,34,P3
INC100022,Reporting experiencing workaround available in network layer,Network,Development,1,0,0.17,0,177,59,P3
INC100023,API Gateway experiencing partial outage in database layer,Database,Staging,2,3,0.46,1,48,387,P2
INC100024,Reporting experiencing question in security layer,Security,Development,1,0,0.03,0,474,1,P4
INC100025,Reporting experiencing partial outage in application layer,Application,DR,3,1,0.48,0,21,502,P2
INC100026,Reporting experiencing enhancement in network layer,Network,Development,1,0,0.11,0,267,2,P4
INC100027,Web Portal experiencing how to in network layer,Network,Staging,2,0,0.01,0,479,3,P4
INC100028,API Gateway experiencing warning in network layer,Network,DR,3,0,0.2,0,223,54,P3
INC100029,File Storage experiencing warning in network layer,Network,Production,4,1,0.18,0,177,56,P3
INC100030,Auth Service experiencing warning in database layer,Database,Development,1,1,0.13,0,148,22,P3
INC100031,API Gateway experiencing high latency in storage layer,Storage,Staging,2,3,0.55,0,42,333,P2
INC100032,API Gateway experiencing workaround available in storage layer,Storage,Production,4,0,0.37,0,201,28,P3
INC100033,VPN experiencing non-critical in storage layer,Storage,Staging,2,1,0.11,1,75,53,P3
INC100034,File Storage experiencing minor issue in network layer,Network,DR,3,0,0.23,1,96,18,P3
INC100035,API Gateway experiencing low impact in application layer,Application,Development,1,1,0.17,0,180,2,P3
INC100036,Auth Service experiencing failover in application layer,Application,Staging,2,1,0.45,1,48,526,P2
INC100037,Payment Gateway experiencing degraded in database layer,Database,Staging,2,1,0.43,0,45,69,P2
INC100038,API Gateway experiencing minor issue in security layer,Security,DR,3,0,0.23,0,220,22,P3
INC100039,VPN experiencing slow in storage layer,Storage,Staging,2,2,0.41,0,15,103,P2
INC100040,Web Portal experiencing single user in network layer,Network,Production,4,1,0.18,0,225,6,P3
INC100041,Email Service experiencing revenue impact in database layer,Database,DR,3,6,0.74,1,10,2193,P1
INC100042,Email Service experiencing data loss in database layer,Database,DR,3,4,0.99,1,9,2431,P1
INC100043,Auth Service experiencing minor issue in application layer,Application,Staging,2,1,0.18,0,118,40,P3
INC100044,Email Service experiencing no impact in storage layer,Storage,Production,4,0,0.08,0,337,4,P4
INC100045,API Gateway experiencing single user in application layer,Application,DR,3,1,0.11,0,98,47,P3
INC100046,Database Cluster experiencing data loss in security layer,Security,Staging,2,6,0.75,1,7,3349,P1
INC100047,API Gateway experiencing slow in application layer,Application,Staging,2,1,0.59,1,25,385,P2
INC100048,File Storage experiencing workaround available in security layer,Security,Production,4,1,0.3,0,218,51,P3
INC100049,Auth Service experiencing question in database layer,Database,DR,3,0,0.1,0,102,3,P4
INC100050,API Gateway experiencing slow in application layer,Application,DR,3,3,0.52,1,38,467,P2
INC100051,Database Cluster experiencing slow in security layer,Security,Development,1,1,0.73,0,34,326,P2
INC100052,Database Cluster experiencing question in application layer,Application,DR,3,0,0.09,0,286,0,P4
INC100053,Auth Service experiencing minor issue in application layer,Application,DR,3,1,0.22,1,66,12,P3
INC100054,API Gateway experiencing warning in network layer,Network,Production,4,1,0.42,0,141,25,P3
INC100055,Auth Service experiencing partial outage in database layer,Database,Development,1,1,0.72,0,16,433,P2
INC100056,Database Cluster experiencing non-critical in storage layer,Storage,Staging,2,1,0.22,0,82,23,P3
INC100057,Database Cluster experiencing inquiry in storage layer,Storage,Development,1,0,0.15,0,457,1,P4
INC100058,Payment Gateway experiencing minor issue in storage layer,Storage,Development,1,1,0.34,1,174,38,P3
INC100059,Reporting experiencing down in application layer,Application,Production,4,5,0.91,0,5,2886,P1
INC100060,VPN experiencing workaround available in network layer,Network,Production,4,0,0.43,1,161,36,P3
